"","statenum","Route","RouteName","rt.uni","State","system.index","RTENAME","RTENO","date","meanHSI","RTENO_2","year"
"1",3,50,"CORDOVA","3-50","ALASKA",NA,NA,NA,NA,NA,NA,NA
"2",3,52,"KENNY LAKE","3-52","ALASKA",NA,NA,NA,NA,NA,NA,NA
"3",3,850,"COPPER RIVER","3-850","ALASKA",NA,NA,NA,NA,NA,NA,NA
"4",11,26,"CAMPBELL RIVER","11-26","British Columbia",NA,NA,NA,NA,NA,NA,NA
"5",11,33,"BRIDGE LAKE","11-33","British Columbia",NA,NA,NA,NA,NA,NA,NA
"6",4,10,"HIGHWOOD RIVER","4-10","Alberta",NA,NA,NA,NA,NA,NA,NA
"7",4,123,"CRIPPLE CRK","4-123","Alberta",NA,NA,NA,NA,NA,NA,NA
"8",4,125,"SUNWAPTA FLS","4-125","Alberta",NA,NA,NA,NA,NA,NA,NA
"9",4,15,"EAGLE HILL","4-15","Alberta",NA,NA,NA,NA,NA,NA,NA
"10",4,16,"EXSHAW","4-16","Alberta",NA,NA,NA,NA,NA,NA,NA
"11",4,215,"GHOST LAKE","4-215","Alberta",NA,NA,NA,NA,NA,NA,NA
"12",4,24,"WINDY POINT","4-24","Alberta",NA,NA,NA,NA,NA,NA,NA
"13",4,34,"HOFF","4-34","Alberta",NA,NA,NA,NA,NA,NA,NA
"14",14,1,"HORSE CREEK","14-1","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"15",14,117,"SILVER CITY","14-117","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"16",14,158,"SATTLEY","14-158","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"17",14,169,"MCCLOUD","14-169","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"18",14,175,"MT SHASTA","14-175","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"19",14,181,"GENESEE","14-181","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"20",14,193,"BODEGA BAY","14-193","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"21",14,201,"HAT CREEK","14-201","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"22",14,3,"NUBIEBER","14-3","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"23",14,423,"PINE MOUNTAIN","14-423","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"24",14,429,"CECILVILLE","14-429","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"25",14,6,"HOLMES","14-6","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"26",14,75,"RIO DELL","14-75","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"27",14,77,"SHASTA LAKE","14-77","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"28",14,81,"NAVARRO","14-81","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"29",14,82,"WOODFORDS","14-82","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"30",14,83,"FAIRFAX","14-83","CALIFORNIA",NA,NA,NA,NA,NA,NA,NA
"31",53,176,"SKALKHO-RYE","53-176","MONTANA",NA,NA,NA,NA,NA,NA,NA
"32",69,159,"EMIGRANT LAKE 2","69-159","OREGON",NA,NA,NA,NA,NA,NA,NA
"33",69,244,"CINDERELLA","69-244","OREGON",NA,NA,NA,NA,NA,NA,NA
"34",69,336,"FISHER","69-336","OREGON",NA,NA,NA,NA,NA,NA,NA
"35",69,42,"SVENSEN","69-42","OREGON",NA,NA,NA,NA,NA,NA,NA
"36",69,47,"CAMP SHERMAN","69-47","OREGON",NA,NA,NA,NA,NA,NA,NA
"37",89,11,"ISSAQUAH","89-11","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"38",89,13,"ARDENVOIR","89-13","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"39",89,142,"MENDOTA 2","89-142","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"40",89,242,"MENDOTA 3","89-242","WASHINGTON",NA,NA,NA,NA,NA,NA,NA
"41",92,26,"RIVERSIDE","92-26","WYOMING",NA,NA,NA,NA,NA,NA,NA
"42",92,32,"HUNTER PEAK","92-32","WYOMING",NA,NA,NA,NA,NA,NA,NA
"43",92,77,"FIDDLER LK","92-77","WYOMING",NA,NA,NA,NA,NA,NA,NA
